1,Human,Human,0,Human,21,game00001.log,
2,GreedyPlayer,RandomPlayer,0,GreedyPlayer,37,game00002.log,
3,RandomPlayer,GreedyPlayer,1,GreedyPlayer,21,game00003.log,
4,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00004.log,
5,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,14,game00005.log,
6,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00006.log,
7,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,20,game00007.log,
8,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00008.log,
9,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00009.log,
10,Human,xxxxxxxxx,1,xxxxxxxxx,18,game00010.log,
11,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00011.log,
12,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,15,game00012.log,
13,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,10,game00013.log,
14,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,15,game00014.log,
15,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,14,game00015.log,
16,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00016.log,
17,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00017.log,
18,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00018.log,
19,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,21,game00019.log,
20,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,19,game00020.log,
21,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,25,game00021.log,
22,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00022.log,
23,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00023.log,
24,RandomPlayer,xxxxxxxxx,1,xxxxxxxxx,12,game00024.log,
25,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,26,game00025.log,
27,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,22,game00027.log,
28,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,20,game00028.log,
29,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,13,game00029.log,
30,RandomPlayer,xxxxxxxxx,1,xxxxxxxxx,27,game00030.log,
31,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,201,game00031.log,
33,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,1,game00033.log,TIMEOUT
34,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,13,game00034.log,
39,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,20,game00039.log,
41,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,18,game00041.log,
42,260654858,RandomPlayer,1,RandomPlayer,0,game00042.log,TIMEOUT
43,260654858,RandomPlayer,1,RandomPlayer,0,game00043.log,TIMEOUT
44,260654858,RandomPlayer,1,RandomPlayer,0,game00044.log,TIMEOUT
45,260654858,RandomPlayer,1,RandomPlayer,32,game00045.log,
46,RandomPlayer,260654858,0,RandomPlayer,25,game00046.log,
47,260654858,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,35,game00047.log,
48,RandomPlayer,260654858,0,RandomPlayer,31,game00048.log,
49,260654858,RandomPlayer,0,260654858,41,game00049.log,
50,RandomPlayer,260654858,0,RandomPlayer,42,game00050.log,
51,260654858,RandomPlayer,1,RandomPlayer,34,game00051.log,
52,RandomPlayer,260654858,0,RandomPlayer,34,game00052.log,
53,260654858,RandomPlayer,0,260654858,38,game00053.log,
54,RandomPlayer,260654858,1,260654858,34,game00054.log,
55,260654858,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,33,game00055.log,
56,RandomPlayer,260654858,1,260654858,42,game00056.log,
57,260654858,RandomPlayer,0,260654858,49,game00057.log,
58,RandomPlayer,260654858,0,RandomPlayer,32,game00058.log,
59,260654858,RandomPlayer,1,RandomPlayer,37,game00059.log,
61,260654858,RandomPlayer,1,RandomPlayer,27,game00061.log,
62,RandomPlayer,260654858,0,RandomPlayer,46,game00062.log,
63,260654858,RandomPlayer,1,RandomPlayer,26,game00063.log,
65,260654858,RandomPlayer,1,RandomPlayer,33,game00065.log,
67,260654858,RandomPlayer,0,260654858,30,game00067.log,
68,RandomPlayer,260654858,1,260654858,27,game00068.log,
69,260654858,RandomPlayer,0,260654858,34,game00069.log,
70,RandomPlayer,260654858,1,260654858,30,game00070.log,
72,260654858,RandomPlayer,0,260654858,48,game00072.log,
73,RandomPlayer,260654858,1,260654858,33,game00073.log,
74,260654858,RandomPlayer,0,260654858,27,game00074.log,
75,RandomPlayer,260654858,0,RandomPlayer,18,game00075.log,
76,260654858,RandomPlayer,0,260654858,31,game00076.log,
77,RandomPlayer,260654858,0,RandomPlayer,36,game00077.log,
78,260654858,RandomPlayer,0,260654858,27,game00078.log,
79,RandomPlayer,260654858,1,260654858,13,game00079.log,
81,260654858,RandomPlayer,1,RandomPlayer,27,game00081.log,TIMEOUT
82,260654858,RandomPlayer,1,RandomPlayer,31,game00082.log,TIMEOUT
83,260654858,RandomPlayer,1,RandomPlayer,21,game00083.log,TIMEOUT
84,260654858,RandomPlayer,1,RandomPlayer,20,game00084.log,TIMEOUT
85,260654858,RandomPlayer,1,RandomPlayer,23,game00085.log,
86,RandomPlayer,260654858,1,260654858,24,game00086.log,
87,260654858,RandomPlayer,1,RandomPlayer,27,game00087.log,
88,RandomPlayer,260654858,0,RandomPlayer,36,game00088.log,TIMEOUT
89,260654858,RandomPlayer,1,RandomPlayer,27,game00089.log,
90,RandomPlayer,260654858,0,RandomPlayer,26,game00090.log,TIMEOUT
91,260654858,RandomPlayer,1,RandomPlayer,26,game00091.log,
92,RandomPlayer,260654858,0,RandomPlayer,29,game00092.log,
93,260654858,RandomPlayer,0,260654858,29,game00093.log,
94,RandomPlayer,260654858,0,RandomPlayer,30,game00094.log,TIMEOUT
95,260654858,RandomPlayer,1,RandomPlayer,19,game00095.log,TIMEOUT
96,260654858,RandomPlayer,1,RandomPlayer,24,game00096.log,
97,RandomPlayer,260654858,0,RandomPlayer,22,game00097.log,
98,260654858,RandomPlayer,0,260654858,25,game00098.log,
99,RandomPlayer,260654858,0,RandomPlayer,24,game00099.log,
100,260654858,RandomPlayer,1,RandomPlayer,30,game00100.log,TIMEOUT
101,260654858,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,34,game00101.log,
102,RandomPlayer,260654858,1,260654858,16,game00102.log,
103,260654858,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,24,game00103.log,
104,RandomPlayer,260654858,1,260654858,23,game00104.log,
105,260654858,RandomPlayer,1,RandomPlayer,23,game00105.log,
106,RandomPlayer,260654858,0,RandomPlayer,34,game00106.log,
107,260654858,RandomPlayer,1,RandomPlayer,31,game00107.log,
108,RandomPlayer,260654858,0,RandomPlayer,30,game00108.log,
109,260654858,RandomPlayer,1,RandomPlayer,40,game00109.log,
110,260654858,RandomPlayer,1,RandomPlayer,25,game00110.log,TIMEOUT
111,260654858,RandomPlayer,1,RandomPlayer,24,game00111.log,TIMEOUT
112,260654858,RandomPlayer,1,RandomPlayer,26,game00112.log,TIMEOUT
113,260654858,RandomPlayer,1,RandomPlayer,27,game00113.log,TIMEOUT
114,260654858,RandomPlayer,1,RandomPlayer,25,game00114.log,TIMEOUT
115,260654858,RandomPlayer,0,260654858,34,game00115.log,
116,RandomPlayer,260654858,1,260654858,22,game00116.log,
117,260654858,RandomPlayer,0,260654858,23,game00117.log,
118,RandomPlayer,260654858,0,RandomPlayer,24,game00118.log,
119,260654858,RandomPlayer,0,260654858,31,game00119.log,
120,RandomPlayer,260654858,0,RandomPlayer,22,game00120.log,
121,260654858,RandomPlayer,0,260654858,21,game00121.log,
122,RandomPlayer,260654858,1,260654858,30,game00122.log,
123,260654858,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,25,game00123.log,
124,RandomPlayer,260654858,0,RandomPlayer,21,game00124.log,TIMEOUT
125,260654858,RandomPlayer,1,RandomPlayer,24,game00125.log,TIMEOUT
126,260654858,RandomPlayer,1,RandomPlayer,23,game00126.log,TIMEOUT
127,260654858,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,32,game00127.log,
128,RandomPlayer,260654858,1,260654858,21,game00128.log,
129,260654858,RandomPlayer,0,260654858,31,game00129.log,
130,RandomPlayer,260654858,1,260654858,32,game00130.log,
131,260654858,RandomPlayer,1,RandomPlayer,42,game00131.log,
132,RandomPlayer,260654858,1,260654858,30,game00132.log,
133,260654858,RandomPlayer,0,260654858,28,game00133.log,
134,RandomPlayer,260654858,0,RandomPlayer,26,game00134.log,
135,260654858,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,30,game00135.log,
136,RandomPlayer,260654858,1,260654858,30,game00136.log,
137,260654858,RandomPlayer,1,RandomPlayer,45,game00137.log,
138,RandomPlayer,260654858,1,260654858,21,game00138.log,
139,260654858,RandomPlayer,0,260654858,27,game00139.log,
140,RandomPlayer,260654858,1,260654858,37,game00140.log,
141,260654858,RandomPlayer,1,RandomPlayer,27,game00141.log,TIMEOUT
142,260654858,RandomPlayer,1,RandomPlayer,21,game00142.log,TIMEOUT
143,260654858,RandomPlayer,1,RandomPlayer,26,game00143.log,
144,RandomPlayer,260654858,0,RandomPlayer,35,game00144.log,
145,260654858,RandomPlayer,1,RandomPlayer,25,game00145.log,
146,RandomPlayer,260654858,0,RandomPlayer,35,game00146.log,TIMEOUT
147,260654858,RandomPlayer,1,RandomPlayer,26,game00147.log,TIMEOUT
148,260654858,RandomPlayer,1,RandomPlayer,22,game00148.log,
149,RandomPlayer,260654858,1,260654858,25,game00149.log,
150,260654858,RandomPlayer,1,RandomPlayer,25,game00150.log,
151,RandomPlayer,260654858,0,RandomPlayer,20,game00151.log,
152,260654858,RandomPlayer,1,RandomPlayer,25,game00152.log,TIMEOUT
153,260654858,RandomPlayer,0,260654858,33,game00153.log,
154,RandomPlayer,260654858,0,RandomPlayer,43,game00154.log,
155,260654858,RandomPlayer,0,260654858,24,game00155.log,
156,RandomPlayer,260654858,1,260654858,26,game00156.log,
157,260654858,RandomPlayer,0,260654858,28,game00157.log,
158,RandomPlayer,260654858,0,RandomPlayer,23,game00158.log,
159,260654858,RandomPlayer,1,RandomPlayer,38,game00159.log,
160,RandomPlayer,260654858,1,260654858,31,game00160.log,
161,260654858,RandomPlayer,1,RandomPlayer,42,game00161.log,
162,RandomPlayer,260654858,1,260654858,21,game00162.log,
163,260654858,RandomPlayer,0,260654858,28,game00163.log,
164,RandomPlayer,260654858,0,RandomPlayer,43,game00164.log,
165,260654858,RandomPlayer,1,RandomPlayer,29,game00165.log,
166,RandomPlayer,260654858,1,260654858,28,game00166.log,
168,260654858,GreedyPlayer,1,GreedyPlayer,21,game00168.log,
169,GreedyPlayer,260654858,0,GreedyPlayer,25,game00169.log,
170,260654858,GreedyPlayer,1,GreedyPlayer,23,game00170.log,
171,GreedyPlayer,260654858,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,14,game00171.log,
172,260654858,GreedyPlayer,1,GreedyPlayer,22,game00172.log,
173,GreedyPlayer,260654858,0,GreedyPlayer,16,game00173.log,
175,260654858,GreedyPlayer,1,GreedyPlayer,26,game00175.log,TIMEOUT
176,260654858,GreedyPlayer,1,GreedyPlayer,20,game00176.log,
177,GreedyPlayer,260654858,0,GreedyPlayer,24,game00177.log,
178,260654858,GreedyPlayer,1,GreedyPlayer,28,game00178.log,
179,GreedyPlayer,260654858,0,GreedyPlayer,13,game00179.log,
180,260654858,GreedyPlayer,1,GreedyPlayer,21,game00180.log,
181,GreedyPlayer,260654858,0,GreedyPlayer,29,game00181.log,
182,260654858,GreedyPlayer,0,260654858,21,game00182.log,
183,260654858,GreedyPlayer,1,GreedyPlayer,18,game00183.log,
184,GreedyPlayer,260654858,0,GreedyPlayer,27,game00184.log,
185,260654858,GreedyPlayer,1,GreedyPlayer,34,game00185.log,
186,GreedyPlayer,260654858,0,GreedyPlayer,32,game00186.log,
187,260654858,GreedyPlayer,1,GreedyPlayer,26,game00187.log,
188,260654858,GreedyPlayer,1,GreedyPlayer,16,game00188.log,
189,GreedyPlayer,260654858,0,GreedyPlayer,24,game00189.log,
190,260654858,GreedyPlayer,1,GreedyPlayer,23,game00190.log,
191,260654858,GreedyPlayer,1,GreedyPlayer,21,game00191.log,
192,260654858,GreedyPlayer,1,GreedyPlayer,21,game00192.log,
193,260654858,GreedyPlayer,1,GreedyPlayer,57,game00193.log,
194,260654858,GreedyPlayer,0,260654858,18,game00194.log,
195,260654858,GreedyPlayer,1,GreedyPlayer,25,game00195.log,
196,260654858,GreedyPlayer,1,GreedyPlayer,24,game00196.log,
197,260654858,GreedyPlayer,0,260654858,17,game00197.log,
198,260654858,GreedyPlayer,1,GreedyPlayer,19,game00198.log,
199,260654858,RandomPlayer,1,RandomPlayer,40,game00199.log,
200,260654858,RandomPlayer,0,260654858,42,game00200.log,
203,260654858,RandomPlayer,1,RandomPlayer,25,game00203.log,TIMEOUT
209,260654858,RandomPlayer,1,RandomPlayer,22,game00209.log,TIMEOUT
215,260654858,RandomPlayer,1,RandomPlayer,0,game00215.log,TIMEOUT
217,260654858,RandomPlayer,0,260654858,43,game00217.log,
219,260654858,RandomPlayer,1,RandomPlayer,0,game00219.log,TIMEOUT
220,RandomPlayer,260654858,0,RandomPlayer,0,game00220.log,TIMEOUT
221,260654858,RandomPlayer,0,260654858,39,game00221.log,
222,RandomPlayer,260654858,0,RandomPlayer,0,game00222.log,TIMEOUT
223,260654858,RandomPlayer,0,260654858,28,game00223.log,
224,RandomPlayer,260654858,1,260654858,33,game00224.log,
225,260654858,RandomPlayer,0,260654858,17,game00225.log,
228,260654858,RandomPlayer,1,RandomPlayer,0,game00228.log,TIMEOUT
229,RandomPlayer,260654858,0,RandomPlayer,0,game00229.log,TIMEOUT
230,260654858,RandomPlayer,1,RandomPlayer,0,game00230.log,TIMEOUT
231,260654858,RandomPlayer,1,RandomPlayer,0,game00231.log,TIMEOUT
233,260654858,RandomPlayer,1,RandomPlayer,0,game00233.log,TIMEOUT
234,260654858,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,32,game00234.log,
235,260654858,RandomPlayer,0,260654858,26,game00235.log,
237,260654858,RandomPlayer,0,260654858,43,game00237.log,
238,RandomPlayer,260654858,1,260654858,23,game00238.log,
239,260654858,RandomPlayer,0,260654858,22,game00239.log,
240,RandomPlayer,260654858,1,260654858,43,game00240.log,
242,260654858,RandomPlayer,0,260654858,28,game00242.log,
243,RandomPlayer,260654858,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,37,game00243.log,
244,260654858,RandomPlayer,0,260654858,37,game00244.log,
245,RandomPlayer,260654858,1,260654858,20,game00245.log,
246,260654858,RandomPlayer,0,260654858,23,game00246.log,
247,RandomPlayer,260654858,1,260654858,25,game00247.log,
248,260654858,RandomPlayer,0,260654858,27,game00248.log,
249,RandomPlayer,260654858,0,RandomPlayer,0,game00249.log,TIMEOUT
250,260654858,RandomPlayer,0,260654858,20,game00250.log,
251,RandomPlayer,260654858,1,260654858,33,game00251.log,
252,260654858,RandomPlayer,0,260654858,23,game00252.log,
253,RandomPlayer,260654858,1,260654858,29,game00253.log,
254,260654858,RandomPlayer,0,260654858,29,game00254.log,
255,RandomPlayer,260654858,0,RandomPlayer,0,game00255.log,TIMEOUT
256,260654858,RandomPlayer,1,RandomPlayer,0,game00256.log,TIMEOUT
257,RandomPlayer,260654858,0,RandomPlayer,0,game00257.log,TIMEOUT
259,260654858,RandomPlayer,0,260654858,50,game00259.log,
261,260654858,RandomPlayer,1,RandomPlayer,0,game00261.log,TIMEOUT
263,260654858,RandomPlayer,0,260654858,20,game00263.log,
264,RandomPlayer,260654858,1,260654858,35,game00264.log,
265,260654858,RandomPlayer,0,260654858,30,game00265.log,
266,RandomPlayer,260654858,1,260654858,41,game00266.log,
267,260654858,RandomPlayer,0,260654858,28,game00267.log,
268,RandomPlayer,260654858,1,260654858,34,game00268.log,
269,260654858,RandomPlayer,0,260654858,35,game00269.log,
270,RandomPlayer,260654858,1,260654858,32,game00270.log,
271,260654858,RandomPlayer,0,260654858,12,game00271.log,
272,RandomPlayer,260654858,1,260654858,28,game00272.log,
273,260654858,RandomPlayer,0,260654858,38,game00273.log,
274,RandomPlayer,260654858,1,260654858,49,game00274.log,
275,260654858,RandomPlayer,0,260654858,58,game00275.log,
276,RandomPlayer,260654858,0,RandomPlayer,201,game00276.log,
277,260654858,RandomPlayer,0,260654858,50,game00277.log,
278,RandomPlayer,260654858,0,RandomPlayer,201,game00278.log,
279,260654858,RandomPlayer,0,260654858,60,game00279.log,
280,RandomPlayer,260654858,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,41,game00280.log,
281,260654858,RandomPlayer,0,260654858,22,game00281.log,
282,RandomPlayer,260654858,1,260654858,14,game00282.log,
283,260654858,RandomPlayer,0,260654858,37,game00283.log,
284,RandomPlayer,260654858,1,260654858,34,game00284.log,
285,260654858,RandomPlayer,0,260654858,26,game00285.log,
286,RandomPlayer,260654858,1,260654858,38,game00286.log,
287,260654858,RandomPlayer,0,260654858,56,game00287.log,
288,RandomPlayer,260654858,0,RandomPlayer,0,game00288.log,TIMEOUT
289,260654858,RandomPlayer,0,260654858,36,game00289.log,
290,RandomPlayer,260654858,0,RandomPlayer,201,game00290.log,
291,260654858,RandomPlayer,0,260654858,29,game00291.log,
292,RandomPlayer,260654858,1,260654858,34,game00292.log,
293,260654858,GreedyPlayer,1,GreedyPlayer,133,game00293.log,
294,GreedyPlayer,260654858,1,260654858,23,game00294.log,
295,260654858,GreedyPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,30,game00295.log,
296,GreedyPlayer,260654858,1,260654858,17,game00296.log,
297,260654858,GreedyPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,31,game00297.log,
298,GreedyPlayer,260654858,0,GreedyPlayer,19,game00298.log,
